Rigidity(GV),Filter,Latitude,Longitude,X,Y,Z
20.0000,1,41.0066,60.9246,6.27301,10.0045,11.3669
19.9990,1,41.0056,60.9245,6.27195,10.0025,11.3645
19.9980,1,41.0047,60.9243,6.27090,10.0005,11.3622
19.9970,1,41.0037,60.9242,6.26985,9.99846,11.3598
19.9960,1,41.0028,60.9240,6.26879,9.99646,11.3574
19.9950,1,41.0018,60.9239,6.26774,9.99446,11.3550
19.9940,1,41.0008,60.9238,6.26668,9.99246,11.3526
19.9930,1,40.9999,60.9236,6.26563,9.99046,11.3502
19.9920,1,40.9989,60.9235,6.26452,9.98836,11.3477
19.9910,1,40.9980,60.9233,6.26338,9.98621,11.3452
19.9900,1,40.9970,60.9232,6.26225,9.98406,11.3426
19.9890,1,40.9961,60.9231,6.26111,9.98192,11.3401
19.9880,1,40.9951,60.9229,6.25998,9.97977,11.3376
19.9870,1,40.9942,60.9228,6.25884,9.97763,11.3350
19.9860,1,40.9932,60.9226,6.25771,9.97548,11.3325
19.9850,1,40.9923,60.9225,6.25657,9.97334,11.3300
19.9840,1,40.9913,60.9224,6.25544,9.97120,11.3275
19.9830,1,40.9904,60.9222,6.25431,9.96906,11.3249
19.9820,1,40.9894,60.9221,6.25317,9.96692,11.3224
19.9810,1,40.9885,60.9219,6.25204,9.96477,11.3199
19.9800,1,40.9876,60.9218,6.25091,9.96263,11.3173
19.9790,1,40.9866,60.9216,6.24978,9.96050,11.3148
19.9780,1,40.9857,60.9215,6.24865,9.95836,11.3123
19.9770,1,40.9847,60.9214,6.24752,9.95622,11.3098
19.9760,1,40.9838,60.9212,6.24639,9.95408,11.3072
19.9750,1,40.9828,60.9211,6.24526,9.95194,11.3047
19.9740,1,40.9819,60.9209,6.24413,9.94981,11.3022
19.9730,1,40.9809,60.9208,6.24300,9.94767,11.2997
19.9720,1,40.9800,60.9206,6.24187,9.94554,11.2972
19.9710,1,40.9790,60.9205,6.24074,9.94340,11.2946
19.9700,1,40.9781,60.9203,6.23961,9.94127,11.2921
19.9690,1,40.9771,60.9202,6.23848,9.93914,11.2896
19.9680,1,40.9762,60.9201,6.23736,9.93700,11.2871
19.9670,1,40.9752,60.9199,6.23623,9.93487,11.2846
19.9660,1,40.9743,60.9198,6.23510,9.93274,11.2821
19.9650,1,40.9733,60.9196,6.23397,9.93061,11.2795
19.9640,1,40.9724,60.9195,6.23285,9.92848,11.2770
19.9630,1,40.9714,60.9193,6.23172,9.92635,11.2745
19.9620,1,40.9705,60.9192,6.23060,9.92422,11.2720
19.9610,1,40.9695,60.9190,6.22947,9.92209,11.2695
19.9600,1,40.9685,60.9189,6.22835,9.91997,11.2670
19.9590,1,40.9676,60.9187,6.22722,9.91784,11.2645
19.9580,1,40.9666,60.9186,6.22610,9.91571,11.2620
19.9570,1,40.9657,60.9184,6.22497,9.91359,11.2595
19.9560,1,40.9647,60.9183,6.22385,9.91146,11.2569
19.9550,1,40.9638,60.9181,6.22273,9.90934,11.2544
19.9540,1,40.9628,60.9180,6.22160,9.90721,11.2519
19.9530,1,40.9619,60.9178,6.22048,9.90509,11.2494
19.9520,1,40.9609,60.9177,6.21936,9.90297,11.2469
19.9510,1,40.9600,60.9175,6.21824,9.90084,11.2444
19.9500,1,40.9590,60.9174,6.21712,9.89872,11.2419
19.9490,1,40.9581,60.9172,6.21600,9.89660,11.2394
19.9480,1,40.9571,60.9171,6.21487,9.89448,11.2369
19.9470,1,40.9561,60.9169,6.21375,9.89236,11.2344
19.9460,1,40.9552,60.9168,6.21263,9.89024,11.2319
19.9450,1,40.9542,60.9166,6.21151,9.88813,11.2294
19.9440,1,40.9533,60.9165,6.21040,9.88601,11.2269
19.9430,1,40.9523,60.9163,6.20928,9.88389,11.2244
19.9420,1,40.9514,60.9162,6.20816,9.88177,11.2219
19.9410,1,40.9504,60.9160,6.20704,9.87966,11.2194
19.9400,1,40.9495,60.9158,6.20592,9.87754,11.2169
19.9390,1,40.9485,60.9157,6.20480,9.87543,11.2144
19.9380,1,40.9475,60.9155,6.20369,9.87331,11.2119
19.9370,1,40.9466,60.9154,6.20257,9.87120,11.2094
19.9360,1,40.9456,60.9152,6.20145,9.86909,11.2069
19.9350,1,40.9447,60.9151,6.20034,9.86698,11.2045
19.9340,1,40.9437,60.9149,6.19922,9.86486,11.2020
19.9330,1,40.9428,60.9148,6.19811,9.86275,11.1995
19.9320,1,40.9418,60.9146,6.19699,9.86064,11.1970
19.9310,1,40.9408,60.9144,6.19588,9.85853,11.1945
19.9300,1,40.9399,60.9143,6.19476,9.85642,11.1920
