Rigidity(GV),Filter,Latitude,Longitude,X,Y,Z
20.0000,1,41.0214,60.9154,6.28684,10.0224,11.3919
19.9990,1,41.0203,60.9153,6.28670,10.0220,11.3911
19.9980,1,41.0191,60.9151,6.28657,10.0217,11.3904
19.9970,1,41.0180,60.9149,6.28643,10.0213,11.3896
19.9960,1,41.0168,60.9148,6.28629,10.0210,11.3889
19.9950,1,41.0156,60.9146,6.28615,10.0206,11.3881
19.9940,1,41.0145,60.9144,6.28602,10.0203,11.3874
19.9930,1,41.0133,60.9143,6.28588,10.0199,11.3866
19.9920,1,41.0121,60.9141,6.28574,10.0196,11.3859
19.9910,1,41.0110,60.9140,6.28561,10.0192,11.3851
19.9900,1,41.0098,60.9138,6.28547,10.0189,11.3844
19.9890,1,41.0086,60.9136,6.28533,10.0185,11.3836
19.9880,1,41.0075,60.9135,6.28519,10.0182,11.3829
19.9870,1,41.0063,60.9133,6.28506,10.0178,11.3821
19.9860,1,41.0051,60.9131,6.28492,10.0175,11.3814
19.9850,1,41.0032,60.9130,6.28865,10.0241,11.3875
19.9840,1,41.0020,60.9128,6.28851,10.0237,11.3868
19.9830,1,41.0008,60.9126,6.28837,10.0234,11.3860
19.9820,1,40.9997,60.9125,6.28823,10.0230,11.3853
19.9810,1,40.9985,60.9123,6.28810,10.0227,11.3845
19.9800,1,40.9973,60.9122,6.28796,10.0223,11.3838
19.9790,1,40.9962,60.9120,6.28782,10.0220,11.3830
19.9780,1,40.9950,60.9118,6.28768,10.0216,11.3823
19.9770,1,40.9939,60.9117,6.28755,10.0212,11.3815
19.9760,1,40.9927,60.9115,6.28741,10.0209,11.3808
19.9750,1,40.9915,60.9113,6.28727,10.0205,11.3800
19.9740,1,40.9904,60.9112,6.28714,10.0202,11.3793
19.9730,1,40.9892,60.9110,6.28700,10.0198,11.3785
19.9720,1,40.9880,60.9108,6.28686,10.0195,11.3778
19.9710,1,40.9869,60.9107,6.28672,10.0191,11.3770
19.9700,1,40.9849,60.9105,6.29045,10.0257,11.3832
19.9690,1,40.9837,60.9103,6.29031,10.0254,11.3824
19.9680,1,40.9826,60.9102,6.29017,10.0250,11.3817
19.9670,1,40.9814,60.9100,6.29004,10.0247,11.3809
19.9660,1,40.9802,60.9098,6.28990,10.0243,11.3802
19.9650,1,40.9791,60.9097,6.28976,10.0240,11.3794
19.9640,1,40.9779,60.9095,6.28962,10.0236,11.3787
19.9630,1,40.9767,60.9093,6.28949,10.0233,11.3779
19.9620,1,40.9756,60.9092,6.28935,10.0229,11.3772
19.9610,1,40.9744,60.9090,6.28921,10.0225,11.3764
19.9600,1,40.9732,60.9088,6.28907,10.0222,11.3757
19.9590,1,40.9721,60.9087,6.28894,10.0218,11.3749
19.9580,1,40.9709,60.9085,6.28880,10.0215,11.3742
19.9570,1,40.9697,60.9083,6.28866,10.0211,11.3734
