Latitude,Longitude,Ru,Rc,Rl
-90.0,0.0,1.5,1.5,1.5
-90.0,20.0,1.5,1.5,1.5
-90.0,40.0,1.5,1.5,1.5
-90.0,60.0,1.5,1.5,1.5
-90.0,80.0,1.5,1.5,1.5
-90.0,100.0,1.5,1.5,1.5
-90.0,120.0,1.5,1.5,1.5
-90.0,140.0,1.5,1.5,1.5
-90.0,160.0,1.5,1.5,1.5
-90.0,180.0,1.5,1.5,1.5
-90.0,200.0,1.5,1.5,1.5
-90.0,220.0,1.5,1.5,1.5
-90.0,240.0,1.5,1.5,1.5
-90.0,260.0,1.5,1.5,1.5
-90.0,280.0,1.5,1.5,1.5
-90.0,300.0,1.5,1.5,1.5
-90.0,320.0,1.5,1.5,1.5
-90.0,340.0,1.5,1.5,1.5
-90.0,360.0,1.5,1.5,1.5
-70.0,0.0,1.2,1.2,1.2
-70.0,20.0,1.1,1.1,1.1
-70.0,40.0,1.1,1.0,0.8
-70.0,60.0,1.2,1.2,1.2
-70.0,80.0,1.3,1.3,1.3
-70.0,100.0,1.4,1.4,1.4
-70.0,120.0,1.2,1.2,1.2
-70.0,140.0,0.8,0.8,0.8
-70.0,160.0,0.5,0.5,0.5
-70.0,180.0,0.8,0.8,0.8
-70.0,200.0,1.0,1.0,1.0
-70.0,220.0,0.9,0.9,0.9
-70.0,240.0,0.5,0.4,0.3
-70.0,260.0,0.0,0.0,0.0
-70.0,280.0,0.4,0.4,0.4
-70.0,300.0,1.2,1.2,1.2
-70.0,320.0,1.4,1.4,1.4
-70.0,340.0,1.2,1.2,1.2
-70.0,360.0,1.2,1.2,1.2
-50.0,0.0,1.1,1.1,1.1
-50.0,20.0,0.5,0.5,0.5
-50.0,40.0,0.0,0.0,0.0
-50.0,60.0,0.0,0.0,0.0
-50.0,80.0,0.0,0.0,0.0
-50.0,100.0,0.6,0.6,0.6
-50.0,120.0,0.3,0.3,0.3
-50.0,140.0,0.7,0.7,0.7
-50.0,160.0,1.2,1.2,1.2
-50.0,180.0,1.5,1.5,1.5
-50.0,200.0,1.9,1.9,1.9
-50.0,220.0,2.2,2.2,2.2
-50.0,240.0,2.1,2.1,2.1
-50.0,260.0,1.6,1.5,1.2
-50.0,280.0,0.6,0.6,0.6
-50.0,300.0,0.4,0.3,0.2
-50.0,320.0,0.7,0.7,0.7
-50.0,340.0,1.0,1.0,1.0
-50.0,360.0,1.1,1.1,1.1
-30.0,0.0,1.5,1.5,1.5
-30.0,20.0,2.0,2.0,2.0
-30.0,40.0,2.1,2.1,2.1
-30.0,60.0,1.9,1.9,1.9
-30.0,80.0,1.1,1.1,1.1
-30.0,100.0,0.4,0.4,0.4
-30.0,120.0,0.0,0.0,0.0
-30.0,140.0,0.0,0.0,0.0
-30.0,160.0,0.0,0.0,0.0
-30.0,180.0,0.0,0.0,0.0
-30.0,200.0,0.0,0.0,0.0
-30.0,220.0,1.0,0.9,0.7
-30.0,240.0,2.1,2.1,2.1
-30.0,260.0,2.1,2.1,2.1
-30.0,280.0,1.7,1.7,1.7
-30.0,300.0,0.7,0.7,0.7
-30.0,320.0,0.9,0.9,0.9
-30.0,340.0,1.2,1.2,1.2
-30.0,360.0,1.5,1.5,1.5
-10.0,0.0,0.4,0.4,0.4
-10.0,20.0,0.9,0.8,0.5
-10.0,40.0,1.7,1.7,1.7
-10.0,60.0,1.8,1.8,1.8
-10.0,80.0,1.9,1.9,1.9
-10.0,100.0,1.3,1.3,1.3
-10.0,120.0,0.9,0.9,0.9
-10.0,140.0,1.1,0.9,0.7
-10.0,160.0,1.6,1.3,1.2
-10.0,180.0,1.6,1.4,1.0
-10.0,200.0,1.5,1.2,0.9
-10.0,220.0,0.6,0.6,0.6
-10.0,240.0,0.0,0.0,0.0
-10.0,260.0,0.3,0.3,0.3
-10.0,280.0,0.9,0.9,0.9
-10.0,300.0,0.9,0.9,0.9
-10.0,320.0,0.0,0.0,0.0
-10.0,340.0,0.3,0.3,0.3
-10.0,360.0,0.4,0.4,0.4
10.0,0.0,1.6,1.6,1.6
10.0,20.0,1.5,1.4,1.3
10.0,40.0,1.1,0.8,0.6
10.0,60.0,0.0,0.0,0.0
10.0,80.0,0.9,0.8,0.7
10.0,100.0,1.7,1.6,1.4
10.0,120.0,2.2,2.1,2.0
10.0,140.0,3.0,3.0,3.0
10.0,160.0,3.7,3.7,3.7
10.0,180.0,4.0,4.0,4.0
10.0,200.0,3.8,3.8,3.8
10.0,220.0,3.2,3.2,3.2
10.0,240.0,2.3,2.3,2.3
10.0,260.0,1.0,0.7,0.6
10.0,280.0,1.4,1.4,1.4
10.0,300.0,1.4,1.4,1.4
10.0,320.0,0.0,0.0,0.0
10.0,340.0,1.3,1.2,1.1
10.0,360.0,1.6,1.6,1.6
30.0,0.0,1.7,1.7,1.7
30.0,20.0,1.0,1.0,1.0
30.0,40.0,2.3,2.3,2.3
30.0,60.0,2.2,2.2,2.2
30.0,80.0,1.4,1.3,1.2
30.0,100.0,0.3,0.3,0.3
30.0,120.0,1.8,1.8,1.8
