Latitude,Longitude,Ru,Rc,Rl
90.0,0.0,0.0,0.0,0.0
89.0,0.0,0.0,0.0,0.0
88.0,0.0,0.0,0.0,0.0
87.0,0.0,0.0,0.0,0.0
86.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0,0.0
84.0,0.0,0.0,0.0,0.0
83.0,0.0,0.0,0.0,0.0
82.0,0.0,0.0,0.0,0.0
81.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0,0.0
79.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0
76.0,0.0,0.0,0.0,0.0
75.0,0.0,0.0,0.0,0.0
74.0,0.0,0.05,0.04,0.05
73.0,0.0,0.13,0.12,0.13
72.0,0.0,0.19,0.18,0.19
71.0,0.0,0.26,0.23,0.22
70.0,0.0,0.27,0.24,0.24
69.0,0.0,0.4,0.27,0.2
68.0,0.0,0.49,0.37,0.24
67.0,0.0,0.51,0.35,0.26
66.0,0.0,0.64,0.4,0.28
65.0,0.0,0.56,0.42,0.31
64.0,0.0,0.69,0.5,0.38
63.0,0.0,0.65,0.61,0.6
62.0,0.0,0.82,0.68,0.58
61.0,0.0,1.02,0.86,0.74
60.0,0.0,1.16,0.99,0.85
59.0,0.0,1.3,1.13,1.01
58.0,0.0,1.48,1.29,1.17
57.0,0.0,1.65,1.5,1.43
56.0,0.0,1.79,1.66,1.59
55.0,0.0,2.04,1.9,1.81
54.0,0.0,2.24,2.17,2.02
53.0,0.0,2.58,2.39,2.26
52.0,0.0,2.88,2.64,2.44
51.0,0.0,3.11,2.9,2.8
50.0,0.0,3.27,3.16,2.99
49.0,0.0,3.71,3.49,3.17
48.0,0.0,4.17,3.92,3.5
47.0,0.0,4.52,4.15,3.84
46.0,0.0,4.81,4.54,4.16
45.0,0.0,5.07,4.86,4.27
44.0,0.0,5.35,5.18,4.86
43.0,0.0,5.66,5.51,5.09
42.0,0.0,6.06,5.92,5.3
41.0,0.0,6.52,6.39,5.86
40.0,0.0,7.15,6.99,6.88
39.0,0.0,7.84,7.62,6.54
38.0,0.0,8.5,8.19,7.2
37.0,0.0,9.1,8.63,7.69
36.0,0.0,9.63,9.15,8.16
35.0,0.0,10.1,9.64,8.18
34.0,0.0,10.55,9.74,8.73
33.0,0.0,10.94,10.16,9.28
32.0,0.0,11.31,10.6,9.8
31.0,0.0,11.67,11.05,10.25
30.0,0.0,11.99,11.52,10.71
29.0,0.0,12.28,11.9,11.12
28.0,0.0,12.56,12.3,11.5
27.0,0.0,12.82,12.62,11.83
26.0,0.0,13.06,12.92,12.14
25.0,0.0,13.28,13.21,12.43
24.0,0.0,13.48,13.46,12.91
23.0,0.0,13.66,13.65,13.66
22.0,0.0,13.83,13.82,13.83
21.0,0.0,13.98,13.97,13.98
20.0,0.0,14.11,14.1,14.11
19.0,0.0,14.23,14.22,14.23
18.0,0.0,14.33,14.32,14.33
17.0,0.0,14.41,14.4,14.41
16.0,0.0,14.48,14.47,14.48
15.0,0.0,14.53,14.52,14.53
14.0,0.0,14.57,14.56,14.57
13.0,0.0,14.59,14.58,14.59
