Rigidity(GV),Filter,Latitude,Longitude,X,Y,Z
20.0000,1,3.54310,70.5505,5.64094,11.2164,1.78906
19.9990,1,3.54051,70.5523,5.64046,11.2160,1.78848
19.9980,1,3.53791,70.5540,5.63998,11.2155,1.78789
19.9970,1,3.53532,70.5557,5.63950,11.2151,1.78731
19.9960,1,3.53273,70.5575,5.63902,11.2147,1.78673
19.9950,1,3.53014,70.5592,5.63854,11.2143,1.78615
19.9940,1,3.52798,70.5624,5.64079,11.2216,1.78607
19.9930,1,3.52539,70.5642,5.64031,11.2212,1.78549
19.9920,1,3.52280,70.5659,5.63983,11.2208,1.78490
19.9910,1,3.52020,70.5677,5.63935,11.2203,1.78432
19.9900,1,3.51761,70.5694,5.63887,11.2199,1.78374
19.9890,1,3.51502,70.5712,5.63838,11.2195,1.78316
19.9880,1,3.51242,70.5729,5.63790,11.2191,1.78257
19.9870,1,3.50983,70.5747,5.63742,11.2187,1.78199
19.9860,1,3.50723,70.5764,5.63694,11.2182,1.78141
19.9850,1,3.50464,70.5782,5.63646,11.2178,1.78082
19.9840,1,3.50204,70.5799,5.63598,11.2174,1.78024
19.9830,1,3.49945,70.5817,5.63549,11.2170,1.77966
19.9820,1,3.49685,70.5834,5.63501,11.2165,1.77907
19.9810,1,3.49426,70.5852,5.63453,11.2161,1.77849
19.9800,1,3.49166,70.5869,5.63405,11.2157,1.77791
19.9790,1,3.48906,70.5887,5.63357,11.2153,1.77733
19.9780,1,3.48647,70.5904,5.63309,11.2149,1.77674
19.9770,1,3.48387,70.5922,5.63260,11.2144,1.77616
19.9760,1,3.48128,70.5939,5.63212,11.2140,1.77558
19.9750,1,3.47912,70.5971,5.63437,11.2213,1.77549
19.9740,1,3.47652,70.5989,5.63389,11.2209,1.77491
19.9730,1,3.47392,70.6006,5.63340,11.2205,1.77433
19.9720,1,3.47133,70.6024,5.63292,11.2201,1.77375
19.9710,1,3.46873,70.6041,5.63244,11.2197,1.77316
19.9700,1,3.46613,70.6059,5.63196,11.2192,1.77258
19.9690,1,3.46353,70.6076,5.63148,11.2188,1.77200
19.9680,1,3.46093,70.6094,5.63099,11.2184,1.77141
19.9670,1,3.45834,70.6112,5.63051,11.2180,1.77083
19.9660,1,3.45574,70.6129,5.63003,11.2175,1.77025
19.9650,1,3.45314,70.6147,5.62955,11.2171,1.76966
19.9640,1,3.45054,70.6164,5.62907,11.2167,1.76908
19.9630,1,3.44794,70.6182,5.62858,11.2163,1.76850
19.9620,1,3.44534,70.6199,5.62810,11.2159,1.76791
19.9610,1,3.44274,70.6217,5.62762,11.2154,1.76733
19.9600,1,3.44014,70.6234,5.62714,11.2150,1.76675
19.9590,1,3.43754,70.6252,5.62665,11.2146,1.76616
19.9580,1,3.43494,70.6269,5.62617,11.2142,1.76558
19.9570,1,3.43234,70.6287,5.62569,11.2137,1.76500
19.9560,1,3.42974,70.6304,5.62521,11.2133,1.76441
19.9550,1,3.42758,70.6336,5.62745,11.2206,1.76432
19.9540,1,3.42498,70.6354,5.62696,11.2202,1.76374
19.9530,1,3.42238,70.6372,5.62648,11.2198,1.76316
19.9520,1,3.41978,70.6389,5.62600,11.2194,1.76257
19.9510,1,3.41718,70.6407,5.62552,11.2189,1.76199
19.9500,1,3.41457,70.6424,5.62503,11.2185,1.76141
19.9490,1,3.41197,70.6442,5.62455,11.2181,1.76082
19.9480,1,3.40959,70.6464,5.62536,11.2212,1.76047
19.9470,1,3.40699,70.6481,5.62487,11.2208,1.75988
19.9460,1,3.40438,70.6499,5.62439,11.2204,1.75930
19.9450,1,3.40178,70.6516,5.62391,11.2200,1.75872
19.9440,1,3.39918,70.6534,5.62343,11.2196,1.75813
19.9430,1,3.39657,70.6552,5.62294,11.2191,1.75755
19.9420,1,3.39397,70.6569,5.62246,11.2187,1.75697
19.9410,1,3.39137,70.6587,5.62198,11.2183,1.75638
19.9400,1,3.38876,70.6604,5.62149,11.2179,1.75580
19.9390,1,3.38616,70.6622,5.62101,11.2174,1.75521
19.9380,1,3.38355,70.6639,5.62053,11.2170,1.75463
19.9370,1,3.38095,70.6657,5.62005,11.2166,1.75405
19.9360,1,3.37834,70.6675,5.61956,11.2162,1.75346
19.9350,1,3.37574,70.6692,5.61908,11.2157,1.75288
19.9340,1,3.37313,70.6710,5.61860,11.2153,1.75230
19.9330,1,3.37053,70.6727,5.61811,11.2149,1.75171
19.9320,1,3.36792,70.6745,5.61763,11.2145,1.75113
19.9310,1,3.36532,70.6763,5.61715,11.2140,1.75055
19.9300,1,3.36271,70.6780,5.61667,11.2136,1.74996
19.9290,1,3.36010,70.6798,5.61618,11.2132,1.74938
19.9280,1,3.35750,70.6815,5.61570,11.2128,1.74880
19.9270,1,3.35538,70.6849,5.61820,11.2209,1.74874
19.9260,1,3.35277,70.6867,5.61772,11.2204,1.74816
19.9250,1,3.35016,70.6884,5.61723,11.2200,1.74757
19.9240,1,3.34756,70.6902,5.61675,11.2196,1.74699
19.9230,1,3.34495,70.6919,5.61627,11.2192,1.74641
19.9220,1,3.34234,70.6937,5.61578,11.2187,1.74582
19.9210,1,3.33973,70.6955,5.61530,11.2183,1.74524
19.9200,1,3.33713,70.6972,5.61482,11.2179,1.74466
19.9190,1,3.33452,70.6990,5.61433,11.2175,1.74407
19.9180,1,3.33191,70.7008,5.61385,11.2170,1.74349
19.9170,1,3.32930,70.7025,5.61336,11.2166,1.74290
19.9160,1,3.32669,70.7043,5.61288,11.2162,1.74232
19.9150,1,3.32408,70.7060,5.61240,11.2158,1.74174
19.9140,1,3.32147,70.7078,5.61191,11.2153,1.74115
19.9130,1,3.31886,70.7096,5.61143,11.2149,1.74057
19.9120,1,3.31625,70.7113,5.61095,11.2145,1.73998
19.9110,1,3.31364,70.7131,5.61046,11.2141,1.73940
19.9100,1,3.31103,70.7149,5.60998,11.2136,1.73882
19.9090,1,3.30842,70.7166,5.60950,11.2132,1.73823
19.9080,1,3.30581,70.7184,5.60901,11.2128,1.73765
19.9070,1,3.30320,70.7201,5.60853,11.2124,1.73707
19.9060,1,3.30108,70.7235,5.61102,11.2204,1.73700
19.9050,1,3.29847,70.7253,5.61054,11.2200,1.73642
19.9040,1,3.29586,70.7270,5.61005,11.2196,1.73583
19.9030,1,3.29324,70.7288,5.60957,11.2192,1.73525
19.9020,1,3.29063,70.7306,5.60908,11.2187,1.73467
19.9010,1,3.28802,70.7323,5.60860,11.2183,1.73408
19.9000,1,3.28541,70.7341,5.60812,11.2179,1.73350
19.8990,1,3.28280,70.7359,5.60763,11.2175,1.73291
19.8980,1,3.28018,70.7376,5.60715,11.2170,1.73233
19.8970,1,3.27757,70.7394,5.60667,11.2166,1.73174
19.8960,1,3.27496,70.7412,5.60618,11.2162,1.73116
19.8950,1,3.27234,70.7429,5.60570,11.2158,1.73058
19.8940,1,3.26973,70.7447,5.60521,11.2153,1.72999
19.8930,1,3.26712,70.7465,5.60473,11.2149,1.72941
19.8920,1,3.26450,70.7482,5.60425,11.2145,1.72882
19.8910,1,3.26189,70.7500,5.60376,11.2141,1.72824
19.8900,1,3.25927,70.7518,5.60328,11.2136,1.72766
19.8890,1,3.25666,70.7535,5.60279,11.2132,1.72707
19.8880,1,3.25404,70.7553,5.60231,11.2128,1.72649
19.8870,1,3.25143,70.7571,5.60183,11.2123,1.72590
19.8860,1,3.24881,70.7588,5.60134,11.2119,1.72532
19.8850,1,3.24620,70.7606,5.60086,11.2115,1.72474
19.8840,1,3.24407,70.7640,5.60334,11.2196,1.72466
19.8830,1,3.24146,70.7657,5.60285,11.2191,1.72408
19.8820,1,3.23884,70.7675,5.60237,11.2187,1.72349
19.8810,1,3.23623,70.7693,5.60188,11.2183,1.72291
19.8800,1,3.23361,70.7711,5.60140,11.2179,1.72233
19.8790,1,3.23099,70.7728,5.60092,11.2174,1.72174
19.8780,1,3.22838,70.7746,5.60043,11.2170,1.72116
19.8770,1,3.22576,70.7764,5.59995,11.2166,1.72057
19.8760,1,3.22314,70.7781,5.59946,11.2161,1.71999
19.8750,1,3.22052,70.7799,5.59898,11.2157,1.71940
19.8740,1,3.21791,70.7817,5.59849,11.2153,1.71882
19.8730,1,3.21529,70.7834,5.59801,11.2149,1.71823
19.8720,1,3.21267,70.7852,5.59753,11.2144,1.71765
19.8710,1,3.21005,70.7870,5.59704,11.2140,1.71707
19.8700,1,3.20743,70.7888,5.59656,11.2136,1.71648
19.8690,1,3.20481,70.7905,5.59607,11.2132,1.71590
19.8680,1,3.20219,70.7923,5.59559,11.2127,1.71531
19.8670,1,3.19958,70.7941,5.59510,11.2123,1.71473
19.8660,1,3.19696,70.7958,5.59462,11.2119,1.71414
19.8650,1,3.19434,70.7976,5.59413,11.2115,1.71356
19.8640,1,3.19172,70.7994,5.59365,11.2110,1.71298
19.8630,1,3.18959,70.8028,5.59612,11.2191,1.71289
19.8620,1,3.18697,70.8045,5.59564,11.2187,1.71231
19.8610,1,3.18435,70.8063,5.59515,11.2182,1.71172
19.8600,1,3.18173,70.8081,5.59467,11.2178,1.71114
19.8590,1,3.17911,70.8099,5.59418,11.2174,1.71055
19.8580,1,3.17649,70.8116,5.59370,11.2169,1.70997
19.8570,1,3.17387,70.8134,5.59321,11.2165,1.70938
19.8560,1,3.17124,70.8152,5.59273,11.2161,1.70880
19.8550,1,3.16862,70.8170,5.59224,11.2157,1.70822
19.8540,1,3.16600,70.8187,5.59176,11.2152,1.70763
19.8530,1,3.16338,70.8205,5.59127,11.2148,1.70705
19.8520,1,3.16076,70.8223,5.59079,11.2144,1.70646
19.8510,1,3.15813,70.8240,5.59030,11.2140,1.70588
19.8500,1,3.15551,70.8258,5.58982,11.2135,1.70529
19.8490,1,3.15289,70.8276,5.58933,11.2131,1.70471
19.8480,1,3.15027,70.8294,5.58885,11.2127,1.70412
19.8470,1,3.14764,70.8311,5.58836,11.2122,1.70354
19.8460,1,3.14502,70.8329,5.58788,11.2118,1.70295
19.8450,1,3.14239,70.8347,5.58739,11.2114,1.70237
19.8440,1,3.13977,70.8365,5.58691,11.2110,1.70178
19.8430,1,3.13715,70.8383,5.58642,11.2105,1.70120
19.8420,1,3.13502,70.8416,5.58888,11.2186,1.70111
19.8410,1,3.13239,70.8434,5.58840,11.2182,1.70052
19.8400,1,3.12977,70.8452,5.58791,11.2177,1.69994
19.8390,1,3.12714,70.8470,5.58743,11.2173,1.69935
19.8380,1,3.12452,70.8487,5.58694,11.2169,1.69877
19.8370,1,3.12189,70.8505,5.58646,11.2164,1.69818
19.8360,1,3.11927,70.8523,5.58597,11.2160,1.69760
19.8350,1,3.11664,70.8541,5.58548,11.2156,1.69701
19.8340,1,3.11402,70.8559,5.58500,11.2152,1.69643
19.8330,1,3.11139,70.8576,5.58451,11.2147,1.69584
19.8320,1,3.10876,70.8594,5.58403,11.2143,1.69526
19.8310,1,3.10614,70.8612,5.58354,11.2139,1.69467
19.8300,1,3.10351,70.8630,5.58306,11.2134,1.69409
19.8290,1,3.10088,70.8647,5.58257,11.2130,1.69350
19.8280,1,3.09826,70.8665,5.58209,11.2126,1.69292
19.8270,1,3.09563,70.8683,5.58160,11.2122,1.69233
19.8260,1,3.09300,70.8701,5.58112,11.2117,1.69175
19.8250,1,3.09037,70.8719,5.58063,11.2113,1.69116
19.8240,1,3.08774,70.8736,5.58014,11.2109,1.69058
19.8230,1,3.08512,70.8754,5.57966,11.2104,1.68999
19.8220,1,3.08249,70.8772,5.57917,11.2100,1.68941
19.8210,1,3.08036,70.8806,5.58163,11.2181,1.68931
19.8200,1,3.07773,70.8824,5.58114,11.2176,1.68872
19.8190,1,3.07510,70.8842,5.58065,11.2172,1.68814
19.8180,1,3.07247,70.8859,5.58017,11.2168,1.68755
19.8170,1,3.06984,70.8877,5.57968,11.2163,1.68697
19.8160,1,3.06721,70.8895,5.57920,11.2159,1.68638
19.8150,1,3.06458,70.8913,5.57871,11.2155,1.68580
19.8140,1,3.06195,70.8931,5.57822,11.2150,1.68521
19.8130,1,3.05932,70.8948,5.57774,11.2146,1.68463
19.8120,1,3.05669,70.8966,5.57725,11.2142,1.68404
19.8110,1,3.05406,70.8984,5.57677,11.2138,1.68346
19.8100,1,3.05143,70.9002,5.57628,11.2133,1.68287
19.8090,1,3.04880,70.9020,5.57579,11.2129,1.68229
19.8080,1,3.04616,70.9038,5.57531,11.2125,1.68170
19.8070,1,3.04353,70.9055,5.57482,11.2120,1.68112
19.8060,1,3.04090,70.9073,5.57434,11.2116,1.68053
19.8050,1,3.03827,70.9091,5.57385,11.2112,1.67995
19.8040,1,3.03564,70.9109,5.57336,11.2107,1.67936
19.8030,1,3.03300,70.9127,5.57288,11.2103,1.67878
19.8020,1,3.03037,70.9145,5.57239,11.2099,1.67819
19.8010,1,3.02774,70.9162,5.57191,11.2095,1.67761
19.8000,1,3.02560,70.9196,5.57435,11.2175,1.67749
19.7990,1,3.02297,70.9214,5.57386,11.2171,1.67691
19.7980,1,3.02034,70.9232,5.57338,11.2166,1.67632
19.7970,1,3.01770,70.9250,5.57289,11.2162,1.67574
19.7960,1,3.01507,70.9268,5.57240,11.2158,1.67515
19.7950,1,3.01244,70.9286,5.57192,11.2153,1.67457
19.7940,1,3.00980,70.9304,5.57143,11.2149,1.67398
19.7930,1,3.00717,70.9321,5.57094,11.2145,1.67340
19.7920,1,3.00453,70.9339,5.57046,11.2140,1.67281
19.7910,1,3.00190,70.9357,5.56997,11.2136,1.67223
19.7900,1,2.99926,70.9375,5.56948,11.2132,1.67164
19.7890,1,2.99663,70.9393,5.56900,11.2128,1.67105
19.7880,1,2.99399,70.9411,5.56851,11.2123,1.67047
19.7870,1,2.99136,70.9429,5.56802,11.2119,1.66988
19.7860,1,2.98872,70.9446,5.56754,11.2115,1.66930
19.7850,1,2.98608,70.9464,5.56705,11.2110,1.66871
19.7840,1,2.98345,70.9482,5.56656,11.2106,1.66813
19.7830,1,2.98081,70.9500,5.56608,11.2102,1.66754
19.7820,1,2.97817,70.9518,5.56559,11.2097,1.66696
19.7810,1,2.97554,70.9536,5.56511,11.2093,1.66637
19.7800,1,2.97290,70.9554,5.56462,11.2089,1.66579
19.7790,1,2.97076,70.9588,5.56705,11.2169,1.66567
19.7780,1,2.96813,70.9606,5.56656,11.2165,1.66508
19.7770,1,2.96549,70.9624,5.56608,11.2160,1.66449
19.7760,1,2.96285,70.9641,5.56559,11.2156,1.66391
19.7750,1,2.96021,70.9659,5.56510,11.2152,1.66332
19.7740,1,2.95757,70.9677,5.56462,11.2147,1.66274
19.7730,1,2.95493,70.9695,5.56413,11.2143,1.66215
19.7720,1,2.95230,70.9713,5.56364,11.2139,1.66157
19.7710,1,2.94966,70.9731,5.56316,11.2134,1.66098
19.7700,1,2.94702,70.9749,5.56267,11.2130,1.66039
19.7690,1,2.94438,70.9767,5.56218,11.2126,1.65981
19.7680,1,2.94174,70.9785,5.56169,11.2122,1.65922
19.7670,1,2.93910,70.9803,5.56121,11.2117,1.65864
19.7660,1,2.93646,70.9820,5.56072,11.2113,1.65805
19.7650,1,2.93382,70.9838,5.56023,11.2109,1.65747
19.7640,1,2.93118,70.9856,5.55975,11.2104,1.65688
19.7630,1,2.92854,70.9874,5.55926,11.2100,1.65630
19.7620,1,2.92589,70.9892,5.55877,11.2096,1.65571
19.7610,1,2.92325,70.9910,5.55829,11.2091,1.65512
19.7600,1,2.92061,70.9928,5.55780,11.2087,1.65454
19.7590,1,2.91797,70.9946,5.55731,11.2083,1.65395
19.7580,1,2.91583,70.9980,5.55974,11.2163,1.65382
19.7570,1,2.91319,70.9998,5.55925,11.2159,1.65324
19.7560,1,2.91055,71.0016,5.55876,11.2154,1.65265
19.7550,1,2.90791,71.0034,5.55827,11.2150,1.65207
19.7540,1,2.90526,71.0052,5.55779,11.2146,1.65148
19.7530,1,2.90262,71.0070,5.55730,11.2141,1.65089
19.7520,1,2.89998,71.0088,5.55681,11.2137,1.65031
19.7510,1,2.89733,71.0105,5.55632,11.2133,1.64972
19.7500,1,2.89469,71.0123,5.55584,11.2128,1.64914
19.7490,1,2.89205,71.0141,5.55535,11.2124,1.64855
19.7480,1,2.88940,71.0159,5.55486,11.2120,1.64796
19.7470,1,2.88676,71.0177,5.55437,11.2115,1.64738
