X,Y,Z
5051.59,88.1919,3921.02
5056.18,88.3266,3924.60
5061.23,88.5195,3928.55
5066.77,88.7854,3932.89
5072.88,89.1429,3937.65
5079.23,89.5869,3942.61
5085.60,90.1060,3947.59
5091.99,90.7009,3952.58
5098.41,91.3721,3957.58
5104.86,92.1199,3962.59
5111.32,92.9450,3967.62
5117.81,93.8478,3972.65
5124.33,94.8287,3977.69
5130.87,95.8883,3982.75
5137.43,97.0268,3987.80
5144.01,98.2448,3992.86
5150.63,99.5427,3997.93
5157.26,100.921,4003.00
5163.92,102.380,4008.07
5170.60,103.919,4013.15
5177.31,105.541,4018.22
5184.05,107.243,4023.29
5190.81,109.028,4028.36
5197.59,110.895,4033.43
5204.40,112.845,4038.49
5211.23,114.878,4043.54
5218.09,116.993,4048.59
5224.98,119.192,4053.63
5231.89,121.475,4058.66
5238.83,123.842,4063.68
5245.79,126.292,4068.68
5252.78,128.827,4073.68
5259.79,131.446,4078.66
5266.83,134.149,4083.62
5273.90,136.937,4088.57
5280.99,139.810,4093.50
5288.11,142.768,4098.41
5295.25,145.810,4103.30
5302.42,148.938,4108.16
5309.62,152.150,4113.01
5316.85,155.448,4117.83
5324.10,158.830,4122.62
5331.37,162.298,4127.39
5338.68,165.850,4132.12
5346.01,169.487,4136.83
5353.37,173.209,4141.51
5360.75,177.016,4146.16
5368.16,180.908,4150.77
5375.60,184.884,4155.35
5383.07,188.944,4159.89
5390.56,193.089,4164.39
5398.09,197.317,4168.86
5405.63,201.630,4173.28
5413.21,206.026,4177.67
5420.81,210.505,4182.01
5428.44,215.067,4186.31
5436.10,219.712,4190.56
5443.79,224.440,4194.77
5451.50,229.250,4198.92
5459.24,234.142,4203.03
5467.01,239.115,4207.09
5474.81,244.169,4211.10
5482.63,249.305,4215.05
5490.48,254.520,4218.95
5498.36,259.815,4222.80
5506.27,265.190,4226.58
5514.20,270.644,4230.31
5522.17,276.176,4233.98
5530.16,281.786,4237.59
5538.18,287.473,4241.14
5546.23,293.238,4244.62
5554.30,299.078,4248.04
5562.41,304.995,4251.39
5570.54,310.986,4254.68
5578.70,317.052,4257.90
5586.88,323.192,4261.05
5595.10,329.405,4264.13
5603.34,335.690,4267.13
5611.62,342.047,4270.07
5619.92,348.476,4272.92
5628.24,354.974,4275.71
5636.60,361.542,4278.41
5644.99,368.180,4281.04
5653.40,374.885,4283.59
5661.84,381.657,4286.06
5670.31,388.496,4288.45
5678.80,395.400,4290.75
5687.33,402.369,4292.98
5695.88,409.402,4295.11
5704.47,416.497,4297.16
5713.07,423.655,4299.13
5721.71,430.874,4301.01
5730.38,438.153,4302.79
5739.07,445.491,4304.49
5747.79,452.888,4306.10
5756.54,460.342,4307.61
5765.32,467.852,4309.03
5774.13,475.417,4310.36
5782.96,483.037,4311.59
5791.83,490.709,4312.73
5800.72,498.434,4313.77
5809.63,506.210,4314.71
5818.58,514.036,4315.55
5827.56,521.911,4316.29
5836.56,529.834,4316.93
5845.59,537.803,4317.47
5854.65,545.818,4317.91
5863.73,553.877,4318.25
5872.84,561.980,4318.48
5881.99,570.125,4318.60
5891.16,578.310,4318.62
5900.35,586.535,4318.54
5909.58,594.799,4318.34
5918.83,603.101,4318.04
5928.11,611.438,4317.63
5937.42,619.810,4317.11
5946.75,628.216,4316.48
5956.12,636.655,4315.74
5965.51,645.124,4314.89
5974.93,653.624,4313.93
5984.37,662.152,4312.86
5993.85,670.708,4311.67
6003.35,679.290,4310.37
6012.88,687.897,4308.95
6022.44,696.528,4307.42
6032.02,705.181,4305.77
6041.63,713.855,4304.01
6051.27,722.548,4302.13
6060.94,731.261,4300.14
6070.63,739.991,4298.03
6080.36,748.736,4295.80
6090.11,757.496,4293.45
6099.88,766.270,4290.99
6109.69,775.056,4288.41
6119.52,783.852,4285.71
6129.38,792.658,4282.89
6139.27,801.472,4279.95
6149.18,810.293,4276.89
6159.13,819.119,4273.71
6169.10,827.950,4270.41
6179.10,836.784,4266.99
6189.12,845.620,4263.45
6199.18,854.456,4259.79
6209.26,863.291,4256.01
6219.37,872.125,4252.11
6229.51,880.954,4248.08
6239.67,889.780,4243.94
6249.86,898.599,4239.67
6260.09,907.412,4235.29
6270.34,916.216,4230.78
6280.61,925.010,4226.15
6290.92,933.794,4221.40
6301.25,942.566,4216.53
6311.62,951.325,4211.54
6322.01,960.069,4206.43
6332.43,968.798,4201.20
6342.88,977.510,4195.84
6353.35,986.204,4190.37
6363.86,994.879,4184.77
6374.40,1003.53,4179.06
6384.96,1012.17,4173.22
6395.55,1020.78,4167.27
6406.18,1029.37,4161.19
6416.83,1037.93,4155.00
6427.51,1046.47,4148.69
6438.22,1054.98,4142.26
6448.96,1063.46,4135.70
6459.74,1071.92,4129.04
6470.54,1080.34,4122.25
6481.37,1088.74,4115.34
6492.24,1097.10,4108.32
6503.13,1105.43,4101.18
6514.05,1113.73,4093.92
6525.01,1121.99,4086.55
6536.00,1130.21,4079.06
6547.02,1138.41,4071.46
6558.07,1146.56,4063.74
6569.15,1154.67,4055.91
6580.27,1162.75,4047.96
6591.42,1170.79,4039.90
6602.60,1178.79,4031.72
